freq,Coherence
0.0,0.0384433
0.5,0.00246204
1.0,0.0031106
1.5,0.00474308
2.0,0.0696465
2.5,0.0632558
3.0,0.20952
3.5,0.590268
4.0,0.717022
4.5,0.899417
5.0,0.954522
5.5,0.963062
6.0,0.960926
6.5,0.96798
7.0,0.974793
7.5,0.99215
8.0,0.994563
8.5,0.995868
9.0,0.995493
9.5,0.996036
10.0,0.99808
10.5,0.998369
11.0,0.997075
11.5,0.998304
12.0,0.998764
12.5,0.999405
13.0,0.998625
13.5,0.998686
14.0,0.999324
14.5,0.999241
15.0,0.999442
15.5,0.999511
16.0,0.999428
16.5,0.999645
17.0,0.999677
17.5,0.999525
18.0,0.999497
18.5,0.999757
19.0,0.999599
19.5,0.999808
20.0,0.99963
20.5,0.999711
21.0,0.9998
21.5,0.999728
22.0,0.999775
22.5,0.999766
23.0,0.999782
23.5,0.999762
24.0,0.999851
24.5,0.999751
25.0,0.999863
25.5,0.999868
26.0,0.999758
26.5,0.999901
27.0,0.999826
27.5,0.999828
28.0,0.999869
28.5,0.999858
29.0,0.999768
29.5,0.999881
30.0,0.999913
30.5,0.999746
31.0,0.999892
31.5,0.999886
32.0,0.999832
32.5,0.999826
33.0,0.999886
33.5,0.99983
34.0,0.999911
34.5,0.999855
35.0,0.999841
35.5,0.999883
36.0,0.999858
36.5,0.99989
37.0,0.999914
37.5,0.999943
38.0,0.999913
38.5,0.999896
39.0,0.999875
39.5,0.999876
40.0,0.999843
40.5,0.999874
41.0,0.999863
41.5,0.999834
42.0,0.999859
42.5,0.999839
43.0,0.999901
43.5,0.999822
44.0,0.999913
44.5,0.999819
45.0,0.999886
45.5,0.999878
46.0,0.999846
46.5,0.999887
47.0,0.999787
47.5,0.999868
48.0,0.999858
48.5,0.999867
49.0,0.999832
49.5,0.999841
50.0,0.999846
50.5,0.999836
51.0,0.999825
51.5,0.999806
52.0,0.999829
52.5,0.999864
53.0,0.999833
53.5,0.999806
54.0,0.999827
54.5,0.999867
55.0,0.999811
55.5,0.999752
56.0,0.999821
56.5,0.999757
57.0,0.999827
57.5,0.999726
58.0,0.999768
58.5,0.9998
59.0,0.999774
59.5,0.999659
60.0,0.999851
60.5,0.999541
61.0,0.999649
61.5,0.999766
62.0,0.999802
62.5,0.999527
63.0,0.999523
63.5,0.999697
64.0,0.999674
64.5,0.999249
65.0,0.999533
65.5,0.999578
66.0,0.998878
66.5,0.999685
67.0,0.999227
67.5,0.999272
68.0,0.999337
68.5,0.999001
69.0,0.998865
69.5,0.999002
70.0,0.997934
70.5,0.999124
71.0,0.997734
71.5,0.998878
72.0,0.996347
72.5,0.99719
73.0,0.996048
73.5,0.995208
74.0,0.990744
74.5,0.993417
75.0,0.991965
75.5,0.969587
76.0,0.974795
76.5,0.892701
77.0,0.74955
77.5,0.10163
78.0,0.749929
78.5,0.917654
79.0,0.973403
79.5,0.980808
80.0,0.985583
80.5,0.988266
81.0,0.994366
81.5,0.993246
82.0,0.996327
82.5,0.9959
83.0,0.997353
83.5,0.996736
84.0,0.996124
84.5,0.998806
85.0,0.997998
85.5,0.99771
86.0,0.998844
86.5,0.998591
87.0,0.99846
87.5,0.9991
88.0,0.998687
88.5,0.998831
89.0,0.999092
89.5,0.9991
90.0,0.998806
90.5,0.999186
91.0,0.999158
91.5,0.99929
92.0,0.999245
92.5,0.998785
93.0,0.999525
93.5,0.999306
94.0,0.999203
94.5,0.999155
95.0,0.999362
95.5,0.999425
96.0,0.999097
96.5,0.999639
97.0,0.999008
97.5,0.999566
98.0,0.999206
98.5,0.999488
99.0,0.999196
99.5,0.999459
100.0,0.999254
100.5,0.99931
101.0,0.999684
101.5,0.99893
102.0,0.999298
102.5,0.999502
103.0,0.999036
103.5,0.999115
104.0,0.999596
104.5,0.99896
105.0,0.999464
105.5,0.998932
106.0,0.999402
106.5,0.998982
107.0,0.998906
107.5,0.999477
108.0,0.998495
108.5,0.999191
109.0,0.998883
109.5,0.99803
110.0,0.999118
110.5,0.998087
111.0,0.998522
111.5,0.998571
112.0,0.998004
112.5,0.997852
