freq,Coherence
0.0,0.000314209
0.5,0.00825021
1.0,0.00186235
1.5,0.000166404
2.0,0.00145564
2.5,0.0136003
3.0,0.0562539
3.5,0.21993
4.0,0.568871
4.5,0.685247
5.0,0.83781
5.5,0.90834
6.0,0.935259
6.5,0.952027
7.0,0.977011
7.5,0.98201
8.0,0.984106
8.5,0.989777
9.0,0.993761
9.5,0.995052
10.0,0.996044
10.5,0.995481
11.0,0.99712
11.5,0.99756
12.0,0.998552
12.5,0.99854
13.0,0.998333
13.5,0.998863
14.0,0.998863
14.5,0.999211
15.0,0.999203
15.5,0.999463
16.0,0.999294
16.5,0.999477
17.0,0.999495
17.5,0.999633
18.0,0.999632
18.5,0.999599
19.0,0.999684
19.5,0.999659
20.0,0.999604
20.5,0.99969
21.0,0.999772
21.5,0.999659
22.0,0.999765
22.5,0.999694
23.0,0.99976
23.5,0.999824
24.0,0.999842
24.5,0.999806
25.0,0.999789
25.5,0.999858
26.0,0.99978
26.5,0.999828
27.0,0.999786
27.5,0.999805
28.0,0.999789
28.5,0.999846
29.0,0.999821
29.5,0.999857
30.0,0.999864
30.5,0.999849
31.0,0.99984
31.5,0.999841
32.0,0.999869
32.5,0.999832
33.0,0.999854
33.5,0.999855
34.0,0.999838
34.5,0.999879
35.0,0.999832
35.5,0.999872
36.0,0.99987
36.5,0.999904
37.0,0.999892
37.5,0.999912
38.0,0.999929
38.5,0.999924
39.0,0.999879
39.5,0.999852
40.0,0.99985
40.5,0.999801
41.0,0.999865
41.5,0.999824
42.0,0.999853
42.5,0.999843
43.0,0.999845
43.5,0.999869
44.0,0.999844
44.5,0.999845
45.0,0.999876
45.5,0.999815
46.0,0.999871
46.5,0.999833
47.0,0.999837
47.5,0.999822
48.0,0.999838
48.5,0.999829
49.0,0.999801
49.5,0.999839
50.0,0.999821
50.5,0.999818
51.0,0.999786
51.5,0.999838
52.0,0.999795
52.5,0.999835
53.0,0.999815
53.5,0.999815
54.0,0.999774
54.5,0.999817
55.0,0.999787
55.5,0.999788
56.0,0.999804
56.5,0.999755
57.0,0.999763
57.5,0.999733
58.0,0.999732
58.5,0.999792
59.0,0.999664
