freq,Coherence
0.0,0.00546967
0.5,0.000253373
1.0,0.00544813
1.5,0.0460027
2.0,0.00777078
2.5,0.0616046
3.0,0.108023
3.5,0.3151
4.0,0.611949
4.5,0.609907
5.0,0.816611
5.5,0.836639
6.0,0.868176
6.5,0.931448
7.0,0.95969
7.5,0.96742
8.0,0.977233
8.5,0.985209
9.0,0.98988
9.5,0.99076
10.0,0.99088
10.5,0.98829
11.0,0.992392
11.5,0.995447
12.0,0.996786
12.5,0.995924
13.0,0.99736
13.5,0.998645
14.0,0.998616
14.5,0.998638
15.0,0.998897
15.5,0.999256
16.0,0.999176
16.5,0.999623
17.0,0.999637
17.5,0.999483
18.0,0.999541
18.5,0.99965
19.0,0.999586
19.5,0.999571
20.0,0.999709
20.5,0.999772
21.0,0.999787
21.5,0.999667
22.0,0.999802
22.5,0.999814
23.0,0.999849
23.5,0.999842
24.0,0.999821
24.5,0.999824
25.0,0.999879
25.5,0.999912
26.0,0.999904
26.5,0.999926
27.0,0.999894
27.5,0.999903
28.0,0.99989
28.5,0.99994
29.0,0.999895
29.5,0.999945
30.0,0.999947
30.5,0.999931
31.0,0.999945
31.5,0.999918
32.0,0.999942
32.5,0.999904
33.0,0.999853
33.5,0.999855
34.0,0.999692
34.5,0.999672
35.0,0.999075
35.5,0.998414
36.0,0.998073
36.5,0.998258
37.0,0.997696
37.5,0.998887
38.0,0.998779
38.5,0.999342
39.0,0.999608
39.5,0.9996
40.0,0.999705
40.5,0.999818
41.0,0.999833
41.5,0.999859
42.0,0.999887
42.5,0.999853
43.0,0.999853
43.5,0.999913
44.0,0.9999
44.5,0.999883
45.0,0.999906
45.5,0.999863
46.0,0.999901
46.5,0.999855
47.0,0.999819
47.5,0.999872
48.0,0.999874
48.5,0.999869
49.0,0.999844
49.5,0.999889
50.0,0.999875
50.5,0.999859
51.0,0.999773
51.5,0.999817
52.0,0.999848
52.5,0.999755
53.0,0.999773
53.5,0.99981
54.0,0.999611
54.5,0.999701
55.0,0.999812
55.5,0.999787
56.0,0.999829
56.5,0.999788
57.0,0.999712
57.5,0.999637
58.0,0.999676
58.5,0.999866
59.0,0.999749
59.5,0.999763
60.0,0.999725
60.5,0.999599
61.0,0.99962
61.5,0.999616
62.0,0.999687
62.5,0.999576
63.0,0.999583
63.5,0.999534
64.0,0.999428
64.5,0.999422
65.0,0.999606
65.5,0.999567
66.0,0.99974
66.5,0.999505
67.0,0.999152
67.5,0.999184
68.0,0.999401
68.5,0.999185
69.0,0.999071
69.5,0.999462
70.0,0.999104
70.5,0.999082
71.0,0.999211
71.5,0.998774
72.0,0.999046
72.5,0.999519
73.0,0.999573
73.5,0.9995
74.0,0.999452
74.5,0.999546
75.0,0.999328
75.5,0.999439
76.0,0.999625
76.5,0.999803
77.0,0.999814
77.5,0.999588
78.0,0.999798
78.5,0.999843
79.0,0.999831
79.5,0.999748
80.0,0.999771
80.5,0.999821
81.0,0.999811
81.5,0.999778
82.0,0.999803
82.5,0.999841
83.0,0.999839
83.5,0.999775
84.0,0.99985
84.5,0.999888
85.0,0.999834
85.5,0.99972
86.0,0.999792
86.5,0.9997
87.0,0.999845
87.5,0.999868
88.0,0.999849
88.5,0.999877
89.0,0.999927
89.5,0.99991
90.0,0.999856
90.5,0.999816
91.0,0.999874
91.5,0.999863
92.0,0.999864
92.5,0.999869
93.0,0.999836
93.5,0.999879
94.0,0.999912
94.5,0.999867
95.0,0.99981
95.5,0.999783
96.0,0.999801
96.5,0.999879
97.0,0.999801
97.5,0.99982
98.0,0.999819
98.5,0.999794
99.0,0.999863
99.5,0.999867
100.0,0.999841
100.5,0.999839
101.0,0.999868
101.5,0.999832
102.0,0.999784
102.5,0.999736
103.0,0.999813
103.5,0.999854
104.0,0.999852
104.5,0.999821
105.0,0.999721
105.5,0.999757
106.0,0.999834
106.5,0.999777
107.0,0.999764
107.5,0.999654
108.0,0.999812
108.5,0.999611
109.0,0.999676
109.5,0.999778
110.0,0.999649
110.5,0.999421
111.0,0.999568
111.5,0.999528
112.0,0.999594
112.5,0.999429
113.0,0.999105
113.5,0.99906
114.0,0.998919
114.5,0.998995
115.0,0.997657
115.5,0.998583
116.0,0.997896
116.5,0.996806
117.0,0.995895
117.5,0.994971
118.0,0.99194
118.5,0.986844
119.0,0.979469
119.5,0.979751
120.0,0.927485
120.5,0.740883
121.0,0.479586
121.5,0.647464
122.0,0.862757
122.5,0.970861
123.0,0.959184
123.5,0.983083
124.0,0.980896
124.5,0.98853
125.0,0.986421
125.5,0.990791
126.0,0.991106
126.5,0.995471
127.0,0.993146
127.5,0.995487
128.0,0.99562
128.5,0.994308
129.0,0.995166
129.5,0.996583
130.0,0.994926
130.5,0.995643
131.0,0.99676
131.5,0.995845
132.0,0.996519
132.5,0.994959
133.0,0.996076
133.5,0.995163
134.0,0.995998
134.5,0.994071
135.0,0.995836
135.5,0.991425
136.0,0.99514
136.5,0.992514
137.0,0.990253
137.5,0.98565
138.0,0.988132
138.5,0.983299
139.0,0.952263
139.5,0.965883
140.0,0.886307
140.5,0.731482
141.0,0.0664775
141.5,0.680704
142.0,0.902366
142.5,0.969759
143.0,0.976967
143.5,0.984282
144.0,0.985736
144.5,0.992519
145.0,0.996419
145.5,0.995019
146.0,0.994556
146.5,0.997494
147.0,0.998018
147.5,0.998456
148.0,0.998359
148.5,0.998502
149.0,0.999224
149.5,0.99885
150.0,0.999253
150.5,0.999209
151.0,0.999337
151.5,0.99896
152.0,0.999152
152.5,0.999262
153.0,0.999383
153.5,0.999376
154.0,0.999441
154.5,0.999338
155.0,0.99953
155.5,0.999727
156.0,0.999554
156.5,0.999541
157.0,0.999252
157.5,0.999642
158.0,0.999749
158.5,0.999718
159.0,0.999532
159.5,0.999724
160.0,0.999686
160.5,0.999713
161.0,0.999829
161.5,0.9996
162.0,0.999578
162.5,0.999618
163.0,0.999668
163.5,0.999694
164.0,0.999346
164.5,0.999625
165.0,0.999736
165.5,0.999756
166.0,0.999797
166.5,0.999676
167.0,0.9996
167.5,0.999582
168.0,0.999737
168.5,0.999717
169.0,0.999719
169.5,0.999659
170.0,0.999456
170.5,0.999443
171.0,0.999652
171.5,0.999654
172.0,0.999702
172.5,0.999795
173.0,0.999753
173.5,0.999558
174.0,0.999501
174.5,0.999517
175.0,0.999279
175.5,0.999374
176.0,0.99953
176.5,0.999608
177.0,0.999702
177.5,0.999694
178.0,0.999658
178.5,0.99958
179.0,0.999659
179.5,0.999661
180.0,0.999744
180.5,0.999513
181.0,0.999632
181.5,0.999714
182.0,0.999669
182.5,0.999512
183.0,0.999377
183.5,0.999328
184.0,0.999452
184.5,0.999541
185.0,0.99963
185.5,0.999605
186.0,0.999653
186.5,0.999667
187.0,0.999417
187.5,0.999368
188.0,0.99943
188.5,0.999354
189.0,0.999585
189.5,0.999601
190.0,0.999528
190.5,0.999371
191.0,0.999248
191.5,0.999157
192.0,0.999476
192.5,0.999583
193.0,0.999529
193.5,0.999756
194.0,0.999648
194.5,0.999438
195.0,0.999682
195.5,0.999572
196.0,0.999379
196.5,0.999503
197.0,0.99946
197.5,0.999292
198.0,0.999354
198.5,0.999313
199.0,0.999288
199.5,0.999257
200.0,0.999461
200.5,0.999318
201.0,0.999341
