freq,velocity,force
0.0,3.55347,-0.0
0.5,0.477335,-0.0606526
1.0,-0.0776411,0.675092
1.5,-0.137598,0.215869
2.0,-0.0231973,-0.0189124
2.5,0.00857034,-0.0524298
3.0,-0.00022665,-0.0626305
3.5,0.0248957,-0.0888801
4.0,0.00592132,-0.109308
4.5,0.0233467,-0.123681
5.0,0.00185899,-0.134636
5.5,0.00110083,-0.115543
6.0,0.00629408,-0.116104
6.5,0.00682648,-0.119559
7.0,0.00618265,-0.108824
7.5,0.0083069,-0.105247
8.0,0.00832945,-0.102992
8.5,0.004568,-0.0980265
9.0,0.00342783,-0.0926574
9.5,0.0040513,-0.0861676
10.0,0.00341072,-0.0828422
10.5,0.00224899,-0.078309
11.0,0.00275741,-0.0766591
11.5,0.00288672,-0.0726522
12.0,0.0030248,-0.0704717
12.5,0.00258856,-0.0679679
13.0,0.00199835,-0.0648201
13.5,0.00155518,-0.0628582
14.0,0.00114678,-0.0610375
14.5,0.000824039,-0.0585781
15.0,0.00115677,-0.0562273
15.5,0.001236,-0.0545287
16.0,0.00130133,-0.0524551
16.5,0.00139373,-0.0512007
17.0,0.00132639,-0.050373
17.5,0.00102227,-0.0488517
18.0,0.00085554,-0.0473993
18.5,0.000744726,-0.0462095
19.0,0.000774097,-0.0450863
19.5,0.000815495,-0.0440695
20.0,0.000704427,-0.0429554
20.5,0.000576701,-0.0420705
21.0,0.000500111,-0.041203
21.5,0.000443953,-0.0403021
22.0,0.000524812,-0.0391968
22.5,0.000523713,-0.0384337
23.0,0.000427584,-0.0377819
23.5,0.000289679,-0.0370637
24.0,0.000210375,-0.0363553
24.5,0.000199363,-0.0355627
25.0,0.00023866,-0.03495
25.5,0.000224681,-0.0343559
26.0,0.000213795,-0.033863
26.5,0.000178471,-0.0334079
27.0,5.45648e-05,-0.0328728
27.5,-6.38689e-05,-0.0324016
28.0,-0.000219456,-0.0318156
28.5,-0.000270785,-0.0314206
29.0,-0.000291728,-0.0309966
29.5,-0.000323553,-0.0304849
30.0,-0.000388365,-0.0302333
30.5,-0.000487315,-0.0298867
31.0,-0.000563205,-0.0295505
31.5,-0.000797765,-0.0292515
32.0,-0.000938978,-0.0290588
32.5,-0.00115116,-0.028862
33.0,-0.00154898,-0.0286026
33.5,-0.00193739,-0.028435
34.0,-0.00256899,-0.0281718
34.5,-0.00326946,-0.0278229
35.0,-0.00396427,-0.0273957
35.5,-0.00528599,-0.0259642
36.0,-0.00588525,-0.0244475
36.5,-0.00578875,-0.022769
37.0,-0.00514224,-0.0213453
37.5,-0.00417145,-0.0202049
38.0,-0.00344038,-0.0198046
38.5,-0.00237533,-0.0194086
39.0,-0.00198589,-0.0191961
39.5,-0.00152976,-0.0191475
40.0,-0.00118079,-0.0191029
40.5,-0.000958461,-0.0190846
41.0,-0.000854126,-0.0189784
41.5,-0.00070159,-0.0187985
42.0,-0.000576036,-0.0187122
42.5,-0.000467205,-0.0186417
43.0,-0.000356963,-0.0184935
43.5,-0.000348811,-0.0183533
44.0,-0.000278333,-0.0182377
44.5,-0.000215699,-0.0181108
45.0,-0.000179554,-0.017951
45.5,-0.000166701,-0.0178432
46.0,-9.95068e-05,-0.0176993
46.5,-4.24407e-05,-0.0175931
47.0,-7.81541e-06,-0.0174014
47.5,4.65654e-05,-0.0172612
48.0,6.59712e-05,-0.0171844
48.5,9.48701e-05,-0.0170794
49.0,0.000117375,-0.0169604
49.5,0.000171825,-0.0167591
50.0,0.000148535,-0.0166427
50.5,0.000186031,-0.0165271
51.0,0.000302606,-0.0164217
51.5,0.000339346,-0.0162623
52.0,0.000358431,-0.0162615
52.5,0.00036982,-0.0162248
53.0,0.000415733,-0.0161584
53.5,0.000432252,-0.0160889
54.0,0.00040995,-0.0160077
54.5,0.000402085,-0.0159143
55.0,0.000388434,-0.015852
55.5,0.000308327,-0.0158126
56.0,0.000311793,-0.0157738
56.5,0.000334266,-0.0157515
57.0,0.000278186,-0.0156468
57.5,0.00019349,-0.0154955
58.0,0.000196412,-0.0154701
58.5,0.000246561,-0.0154415
59.0,0.000254604,-0.0153082
59.5,0.000165564,-0.0151814
60.0,8.43316e-05,-0.0150929
60.5,5.29094e-05,-0.0149474
61.0,6.54979e-06,-0.0148805
61.5,-5.61507e-05,-0.0147541
62.0,-9.59648e-05,-0.0146845
62.5,-4.28018e-05,-0.0145696
63.0,-4.21661e-05,-0.0144464
63.5,-7.72903e-05,-0.0143434
64.0,-8.50171e-06,-0.014245
64.5,-1.59714e-05,-0.0141185
65.0,-6.54812e-05,-0.0140412
65.5,-7.52883e-06,-0.0138297
66.0,4.14112e-05,-0.0137562
66.5,8.9654e-05,-0.0136431
67.0,6.25772e-05,-0.0135182
67.5,0.000151927,-0.0134993
68.0,0.000193156,-0.0134777
68.5,0.000218705,-0.0134339
69.0,0.000326644,-0.0133676
69.5,0.000416966,-0.0133493
70.0,0.00046285,-0.0133172
70.5,0.000446753,-0.0133132
71.0,0.000414858,-0.0134893
71.5,0.000446977,-0.0134941
72.0,0.000429796,-0.0133667
72.5,0.000391435,-0.0133609
73.0,0.000308294,-0.0133648
73.5,0.000325043,-0.0133548
74.0,0.000359575,-0.0133539
74.5,0.000245174,-0.0133977
75.0,0.000164878,-0.0133552
75.5,0.000174845,-0.0132977
76.0,0.000159098,-0.0132203
76.5,0.000106199,-0.013218
77.0,0.000111512,-0.0131817
77.5,5.617e-05,-0.0131001
78.0,5.77158e-06,-0.0130745
78.5,1.03985e-05,-0.0129916
79.0,2.9503e-05,-0.0129298
79.5,2.46286e-05,-0.0129012
80.0,-5.17544e-06,-0.0128598
80.5,-9.71704e-06,-0.0128728
81.0,-3.03868e-05,-0.0128684
81.5,-1.06791e-05,-0.0128196
82.0,-1.83327e-05,-0.0127717
82.5,-3.23083e-05,-0.012733
83.0,1.13887e-05,-0.0127146
83.5,1.34729e-05,-0.0126826
84.0,-5.0503e-05,-0.0126931
84.5,-5.58278e-05,-0.0126867
85.0,-4.35567e-05,-0.0126614
85.5,-8.27503e-05,-0.0126143
86.0,-5.67042e-05,-0.012622
86.5,-2.71345e-05,-0.0126337
87.0,-3.35939e-05,-0.0126238
87.5,-6.24063e-05,-0.0126301
88.0,-7.34449e-05,-0.0125744
88.5,-4.42081e-05,-0.0125831
89.0,-2.6158e-05,-0.0126305
89.5,-7.76901e-05,-0.0126291
90.0,-6.16802e-05,-0.0126529
90.5,-6.87297e-05,-0.0126822
91.0,-7.49881e-05,-0.0126631
91.5,-6.06515e-05,-0.0126878
92.0,-6.6729e-05,-0.0127272
92.5,-9.00816e-05,-0.0127746
93.0,-9.15081e-05,-0.0127868
93.5,-6.85261e-05,-0.0127674
94.0,-7.78732e-05,-0.0128027
94.5,-9.08355e-05,-0.0128378
95.0,-8.17949e-05,-0.0129144
95.5,-8.22866e-05,-0.0129795
96.0,-9.61659e-05,-0.0130262
96.5,-0.000106337,-0.0130523
97.0,-0.000126972,-0.013088
97.5,-0.000148083,-0.0131777
98.0,-0.000149719,-0.0132135
98.5,-0.000130168,-0.0132779
99.0,-9.89994e-05,-0.0134102
99.5,-0.00010619,-0.013499
100.0,-8.55063e-05,-0.0135319
100.5,-7.16443e-05,-0.0136583
101.0,-9.78137e-05,-0.0137614
101.5,-0.000148028,-0.0138572
102.0,-0.000186056,-0.0140071
102.5,-0.000173399,-0.0141282
103.0,-0.000135206,-0.0142308
103.5,-0.000158865,-0.0143717
104.0,-0.000192792,-0.0145524
104.5,-0.000202298,-0.0146869
105.0,-0.000219389,-0.0149148
105.5,-0.000197423,-0.0151638
106.0,-0.000220586,-0.0153419
106.5,-0.000205963,-0.0155193
107.0,-0.000160749,-0.0157603
107.5,-0.000260786,-0.0161179
108.0,-0.000308866,-0.0163908
108.5,-0.000285659,-0.0166586
