freq,velocity,force
0.0,-13.2851,-0.0
0.5,-0.762844,-1.56412
1.0,-0.580399,-0.142041
1.5,-0.086945,0.0205112
2.0,0.0437875,-0.0743196
2.5,0.0371089,-0.0622349
3.0,0.0152118,-0.0959479
3.5,0.00410473,-0.117078
4.0,0.00372294,-0.126316
4.5,0.026652,-0.159301
5.0,0.0253437,-0.154256
5.5,0.0274889,-0.122767
6.0,0.0136584,-0.120219
6.5,0.01245,-0.130859
7.0,0.00989541,-0.116063
7.5,0.00677342,-0.106484
8.0,0.00540131,-0.102136
8.5,0.00657123,-0.0974838
9.0,0.00578299,-0.0926352
9.5,0.00436393,-0.0864646
10.0,0.00427373,-0.080935
10.5,0.00458296,-0.078719
11.0,0.00431936,-0.076177
11.5,0.00357876,-0.0716407
12.0,0.00344198,-0.0685308
12.5,0.00341336,-0.0660637
13.0,0.00319135,-0.0636227
13.5,0.00257777,-0.0605797
14.0,0.00195931,-0.0585152
14.5,0.00209147,-0.0566847
15.0,0.00184109,-0.0546919
15.5,0.00165829,-0.0529872
16.0,0.00159191,-0.0508167
16.5,0.00164441,-0.0493207
17.0,0.0017191,-0.0481502
17.5,0.0015154,-0.046639
18.0,0.00131621,-0.0451857
18.5,0.00120142,-0.0438446
19.0,0.0010923,-0.0426553
19.5,0.00108281,-0.0416172
20.0,0.00103354,-0.0403963
20.5,0.000953401,-0.0393095
21.0,0.000872881,-0.0381837
21.5,0.000783784,-0.0374089
22.0,0.000702444,-0.036298
22.5,0.000666305,-0.035466
23.0,0.000694961,-0.0346348
23.5,0.000699329,-0.0336467
24.0,0.000695542,-0.0330124
24.5,0.000623784,-0.0320855
25.0,0.000618227,-0.031336
25.5,0.00055999,-0.0308241
26.0,0.000515815,-0.0299395
26.5,0.000493737,-0.0293735
27.0,0.000470531,-0.0288664
27.5,0.000460772,-0.028149
28.0,0.000464636,-0.0276181
28.5,0.000463078,-0.027095
29.0,0.000431012,-0.0263761
29.5,0.000401099,-0.0258403
30.0,0.000384078,-0.0254249
30.5,0.000393679,-0.0249833
31.0,0.000387893,-0.0241937
31.5,0.000367082,-0.0238746
32.0,0.000351567,-0.0233576
32.5,0.000376138,-0.0228616
33.0,0.000373512,-0.0223856
33.5,0.000379018,-0.0220135
34.0,0.00040348,-0.021533
34.5,0.000417836,-0.021212
35.0,0.000455366,-0.0207236
35.5,0.00048918,-0.020281
36.0,0.000510377,-0.0199429
36.5,0.00057717,-0.0195929
37.0,0.000657909,-0.0193034
37.5,0.000702699,-0.0190647
38.0,0.000676308,-0.0188733
38.5,0.000578607,-0.0186082
39.0,0.000477102,-0.0182809
39.5,0.000413407,-0.0180137
40.0,0.000314555,-0.0176284
40.5,0.000231075,-0.0172663
41.0,0.000197304,-0.017001
41.5,0.000164198,-0.0166251
42.0,0.000169428,-0.0162438
42.5,0.000159847,-0.0159856
43.0,0.000130838,-0.0156709
43.5,0.000138805,-0.0153517
44.0,0.000140242,-0.0150955
44.5,0.000133905,-0.0148737
45.0,0.000114243,-0.0144388
45.5,0.000118179,-0.0142433
46.0,0.000123445,-0.0139727
46.5,0.000111718,-0.0137197
47.0,0.000109435,-0.0134485
47.5,9.03388e-05,-0.0131317
48.0,7.24191e-05,-0.0128962
48.5,7.5163e-05,-0.0126963
49.0,8.85025e-05,-0.0124086
49.5,7.00259e-05,-0.0121185
50.0,5.52954e-05,-0.0119391
50.5,4.85149e-05,-0.0116912
51.0,7.00034e-05,-0.0114564
51.5,8.69818e-05,-0.0111366
52.0,7.01349e-05,-0.0109348
52.5,6.33858e-05,-0.0107029
53.0,5.39016e-05,-0.0105276
53.5,5.69494e-05,-0.0102623
54.0,6.73301e-05,-0.0100217
54.5,6.45323e-05,-0.0098493
55.0,3.91783e-05,-0.00962259
55.5,4.65858e-05,-0.0093846
56.0,5.45796e-05,-0.00918767
56.5,5.52189e-05,-0.00892984
57.0,4.48066e-05,-0.0087457
57.5,3.14899e-05,-0.00852552
58.0,4.33624e-05,-0.00829318
58.5,4.33604e-05,-0.00810404
59.0,4.66918e-05,-0.007891
59.5,4.88006e-05,-0.00769546
60.0,4.86073e-05,-0.00750347
60.5,3.69298e-05,-0.00726948
61.0,4.16332e-05,-0.00707556
61.5,3.88108e-05,-0.00679296
62.0,3.90088e-05,-0.00669558
62.5,2.152e-05,-0.00645161
63.0,2.87416e-05,-0.00622914
63.5,3.06014e-05,-0.00599526
64.0,2.93224e-05,-0.00586825
64.5,3.13973e-05,-0.00563485
65.0,3.13303e-05,-0.00540463
65.5,2.90134e-05,-0.00522255
66.0,1.78379e-05,-0.00501203
66.5,2.02981e-05,-0.00476208
67.0,2.06701e-05,-0.00463467
67.5,2.84598e-05,-0.00435566
68.0,1.80009e-05,-0.00418385
68.5,1.45569e-05,-0.00401485
69.0,1.86702e-05,-0.00377183
69.5,1.42574e-05,-0.00356532
70.0,6.84227e-06,-0.00333922
70.5,-4.73924e-07,-0.00315399
71.0,-6.44174e-06,-0.00286215
71.5,-3.42944e-06,-0.00273946
72.0,5.68562e-08,-0.00251619
72.5,-5.66112e-06,-0.00224059
73.0,2.05749e-06,-0.00206708
73.5,-9.35732e-06,-0.00183653
74.0,-1.66225e-05,-0.00159621
74.5,-1.06377e-05,-0.00133741
75.0,-4.92334e-06,-0.00122237
75.5,1.38897e-05,-0.000850487
76.0,1.73554e-05,-0.000700042
76.5,1.69803e-05,-0.000409128
77.0,2.00075e-05,-0.000215721
77.5,2.1632e-05,4.18951e-05
78.0,2.23167e-05,0.000200226
78.5,3.19499e-05,0.000539742
79.0,3.54146e-05,0.000773293
