freq,velocity,force
0.0,-2.39147,-0.0
0.5,1.02487,6.00055
1.0,0.912354,0.577964
1.5,0.063322,-0.0622558
2.0,-0.0451025,-0.00710858
2.5,-0.0152494,-0.0384801
3.0,0.00914254,-0.0470197
3.5,-0.00319312,-0.0827514
4.0,-0.00229067,-0.129363
4.5,-0.00166695,-0.136159
5.0,0.0120972,-0.138714
5.5,0.006924,-0.126229
6.0,0.0082984,-0.127493
6.5,0.00993477,-0.117617
7.0,0.00721098,-0.110118
7.5,0.00792259,-0.105486
8.0,0.00833964,-0.0974676
8.5,0.00563681,-0.092173
9.0,0.00397695,-0.0887117
9.5,0.00438334,-0.0842024
10.0,0.00377679,-0.0799094
10.5,0.00339588,-0.0754936
11.0,0.00321255,-0.0724893
11.5,0.00387706,-0.0694096
12.0,0.00404163,-0.0668856
12.5,0.00319493,-0.065178
13.0,0.0019169,-0.0625882
13.5,0.00168438,-0.059952
14.0,0.00149093,-0.0576543
14.5,0.00141386,-0.0553845
15.0,0.00158443,-0.0533315
15.5,0.00133064,-0.0517211
16.0,0.00125451,-0.0499517
16.5,0.00134576,-0.0484085
17.0,0.00132452,-0.0470724
17.5,0.00106016,-0.0455388
18.0,0.000843586,-0.0443883
18.5,0.000672256,-0.0431697
19.0,0.000526923,-0.0418391
19.5,0.000412811,-0.0408187
20.0,0.000240864,-0.0395713
20.5,0.000171375,-0.0382646
21.0,0.000146694,-0.0374103
21.5,0.000121504,-0.0363962
22.0,0.000131506,-0.0353243
22.5,0.000138353,-0.0343391
23.0,0.000172463,-0.0334282
23.5,0.000192644,-0.0326237
24.0,0.000181743,-0.0319844
24.5,0.000153493,-0.0312692
25.0,0.000117149,-0.0304955
25.5,6.75638e-05,-0.0298595
26.0,1.60108e-05,-0.0291771
26.5,-1.865e-05,-0.0285026
27.0,-3.87389e-05,-0.0278616
27.5,-4.78913e-05,-0.0271895
28.0,-3.87602e-05,-0.0264922
28.5,-2.73124e-05,-0.025937
29.0,2.04185e-06,-0.0253801
29.5,5.27771e-05,-0.0248095
30.0,8.28737e-05,-0.0243814
30.5,9.6477e-05,-0.0238961
31.0,0.000103539,-0.0233775
31.5,0.000109346,-0.0228409
32.0,0.00011066,-0.0224514
32.5,0.00011317,-0.0220038
33.0,0.000127845,-0.0214979
33.5,0.000120952,-0.0211116
34.0,0.000119647,-0.0206973
34.5,0.000172582,-0.0202528
35.0,0.0002095,-0.0199119
35.5,0.000246922,-0.0194528
36.0,0.000296394,-0.0191259
36.5,0.000370489,-0.0187713
37.0,0.000432009,-0.0185123
37.5,0.000475161,-0.0182197
38.0,0.000459983,-0.0179933
38.5,0.000382049,-0.017765
39.0,0.000304502,-0.0175532
39.5,0.00018357,-0.0171926
40.0,0.000117816,-0.0169227
40.5,4.91241e-05,-0.0165098
41.0,2.4591e-05,-0.0161976
41.5,1.41289e-05,-0.0158848
42.0,5.64862e-06,-0.0155539
42.5,-1.345e-05,-0.015266
43.0,-2.27227e-05,-0.0149248
43.5,-9.91204e-06,-0.014661
44.0,-2.32959e-05,-0.0143766
44.5,-2.57616e-05,-0.0140801
45.0,-3.85665e-05,-0.0138276
45.5,-5.53486e-05,-0.0135361
46.0,-5.86643e-05,-0.0132691
46.5,-5.84199e-05,-0.0130245
47.0,-8.03561e-05,-0.0127633
47.5,-8.79649e-05,-0.0124683
48.0,-9.18397e-05,-0.0122195
48.5,-9.52224e-05,-0.0119738
49.0,-9.34804e-05,-0.0117285
49.5,-8.51835e-05,-0.0114406
50.0,-7.99013e-05,-0.0112399
50.5,-8.08644e-05,-0.010987
51.0,-7.56854e-05,-0.010756
51.5,-6.56073e-05,-0.0105046
52.0,-5.74623e-05,-0.0102681
52.5,-5.28526e-05,-0.010066
53.0,-4.622e-05,-0.00981685
53.5,-4.05843e-05,-0.00963936
54.0,-4.06493e-05,-0.00940201
54.5,-3.08974e-05,-0.00915822
55.0,-2.83637e-05,-0.00898858
55.5,-2.6081e-05,-0.00873775
56.0,-2.89346e-05,-0.00854899
56.5,-2.49641e-05,-0.00835464
57.0,-2.31172e-05,-0.0081321
57.5,-2.53742e-05,-0.00793425
58.0,-2.88987e-05,-0.00770659
58.5,-3.88455e-05,-0.00753366
59.0,-4.78424e-05,-0.00732955
59.5,-5.65118e-05,-0.00710399
60.0,-6.38273e-05,-0.00690986
60.5,-6.67261e-05,-0.00669522
61.0,-7.2437e-05,-0.00649078
61.5,-8.13694e-05,-0.00629385
62.0,-7.51624e-05,-0.00608218
62.5,-8.03274e-05,-0.00587497
63.0,-8.34598e-05,-0.00567291
63.5,-8.51065e-05,-0.00544517
64.0,-8.61223e-05,-0.00525973
64.5,-8.73681e-05,-0.00505546
65.0,-8.25518e-05,-0.00484997
65.5,-8.03335e-05,-0.00462608
66.0,-8.18203e-05,-0.00443354
66.5,-7.4892e-05,-0.00425807
67.0,-7.82621e-05,-0.00404474
67.5,-7.99559e-05,-0.00381317
68.0,-7.98089e-05,-0.00360893
68.5,-7.82638e-05,-0.00342903
69.0,-7.74035e-05,-0.00320145
69.5,-8.18769e-05,-0.00301123
70.0,-8.17091e-05,-0.00281126
70.5,-8.10476e-05,-0.00257314
71.0,-8.13496e-05,-0.00237299
71.5,-8.73698e-05,-0.00215539
72.0,-9.06223e-05,-0.00195777
72.5,-9.26821e-05,-0.0017295
73.0,-0.000102421,-0.00150295
73.5,-0.000103471,-0.0012887
74.0,-0.000104373,-0.00106578
74.5,-0.000108798,-0.000861351
75.0,-0.000114125,-0.00061574
75.5,-0.000110619,-0.000362344
76.0,-0.000106178,-0.000112813
76.5,-0.000101738,9.39326e-05
77.0,-9.69603e-05,0.000306125
77.5,-9.28336e-05,0.00057963
78.0,-8.73522e-05,0.000820676
78.5,-8.40877e-05,0.00103913
79.0,-8.1766e-05,0.00126885
79.5,-7.92135e-05,0.00154227
80.0,-7.73577e-05,0.00178569
80.5,-7.34233e-05,0.00206933
81.0,-7.34456e-05,0.0022874
81.5,-7.26357e-05,0.00256953
82.0,-7.24659e-05,0.00281007
82.5,-7.40168e-05,0.00311212
83.0,-7.51082e-05,0.00338015
83.5,-7.59426e-05,0.00365648
84.0,-7.03334e-05,0.00395976
84.5,-6.74003e-05,0.00425808
85.0,-7.21127e-05,0.0044888
85.5,-7.40643e-05,0.0048551
86.0,-7.06077e-05,0.00513551
86.5,-6.87002e-05,0.00551119
87.0,-7.30767e-05,0.00580178
87.5,-7.36852e-05,0.0060908
88.0,-6.97294e-05,0.00648121
88.5,-5.79007e-05,0.00681302
89.0,-6.08749e-05,0.00716444
89.5,-6.16982e-05,0.0075498
90.0,-6.03917e-05,0.00789359
90.5,-5.18461e-05,0.00831105
91.0,-5.39379e-05,0.00871556
91.5,-4.58583e-05,0.00909621
92.0,-4.62877e-05,0.00949432
92.5,-3.47004e-05,0.00996755
93.0,-3.66294e-05,0.010395
93.5,-3.64228e-05,0.010843
94.0,-2.44886e-05,0.0113567
94.5,-2.15398e-05,0.0117314
95.0,-2.68739e-05,0.0122846
95.5,4.21358e-06,0.0128705
96.0,1.17428e-05,0.0133926
96.5,-1.36228e-05,0.0139324
97.0,7.31364e-06,0.0145191
97.5,1.17116e-05,0.0151368
98.0,1.11833e-05,0.0157172
98.5,6.24971e-06,0.0163895
99.0,-4.5564e-07,0.0171099
99.5,2.03043e-05,0.0177547
100.0,2.35558e-05,0.0186561
100.5,3.77736e-06,0.0194001
101.0,3.53114e-06,0.0202078
101.5,4.14854e-05,0.0209619
102.0,9.53501e-05,0.0219466
102.5,9.11949e-05,0.0229674
103.0,0.000109872,0.0240084
103.5,0.000123758,0.0249833
104.0,0.000132935,0.026131
104.5,0.000172696,0.0272556
105.0,0.000229206,0.0285517
105.5,0.000279733,0.0301226
106.0,0.000258648,0.0315434
106.5,0.000324062,0.0329182
107.0,0.000360957,0.0344266
107.5,0.000432937,0.036551
108.0,0.000526762,0.0384673
108.5,0.000587943,0.0402124
109.0,0.000686578,0.042907
109.5,0.000778946,0.0455225
110.0,0.00084983,0.0476885
110.5,0.000921944,0.0509925
111.0,0.00108978,0.0542645
111.5,0.00140331,0.0580499
112.0,0.00160045,0.0620919
112.5,0.00191523,0.0666955
113.0,0.00217536,0.0714542
113.5,0.00249905,0.0779427
114.0,0.00292345,0.0849637
114.5,0.00365143,0.0931348
115.0,0.00459977,0.103193
115.5,0.00552391,0.116726
116.0,0.00658524,0.128758
116.5,0.00876138,0.145861
117.0,0.012581,0.171062
117.5,0.0178196,0.203252
118.0,0.0281356,0.247468
118.5,0.0489706,0.31989
119.0,0.0945252,0.438353
119.5,0.265746,0.643631
120.0,0.751739,0.54032
120.5,0.491585,-0.725627
121.0,0.194482,-0.57006
121.5,0.0942327,-0.409487
122.0,0.0477655,-0.303403
122.5,0.0314831,-0.254372
123.0,0.0235732,-0.215402
123.5,0.0155358,-0.180474
124.0,0.011492,-0.157417
124.5,0.00943016,-0.14101
125.0,0.00834035,-0.127847
125.5,0.00698472,-0.115475
126.0,0.00588585,-0.106937
126.5,0.00486151,-0.100006
127.0,0.00406948,-0.0935126
127.5,0.00362116,-0.0869863
128.0,0.00313633,-0.0823895
128.5,0.00281366,-0.0773408
129.0,0.00266569,-0.0735827
129.5,0.0024237,-0.0702938
130.0,0.00226463,-0.0673744
130.5,0.0020447,-0.0640548
131.0,0.0017934,-0.0617148
131.5,0.00166119,-0.0590744
132.0,0.00158992,-0.0571108
132.5,0.0015285,-0.0547248
133.0,0.00135528,-0.0528706
133.5,0.00124201,-0.05161
134.0,0.0012669,-0.0496459
134.5,0.00125198,-0.0481627
135.0,0.00126764,-0.0468166
135.5,0.00114892,-0.0454114
136.0,0.0010532,-0.0440939
136.5,0.000993158,-0.0431215
137.0,0.000957218,-0.0420763
137.5,0.000914886,-0.0411053
138.0,0.000891788,-0.0400999
138.5,0.000825988,-0.0391138
139.0,0.000830306,-0.0381947
139.5,0.000779854,-0.0373486
140.0,0.000724629,-0.0365886
140.5,0.000694221,-0.0358494
141.0,0.000653346,-0.0352031
141.5,0.000626902,-0.0345224
142.0,0.000632094,-0.0338748
142.5,0.00064824,-0.0331939
