% Model,beam.mph
% Version,COMSOL 6.1.0.282
% Date,"Mar 27 2023, 11:55"
% Table,Probe Table 1 - 
% freq (Hz),"solid.vel_rv/F0 (s/kg), Point Probe 1"
10,0.08037187419976755+9.161096059167225E-7i
20,0.038782781576164355+1.91036704404363E-6i
30,0.024204991746969003+3.0791796584828433E-6i
40,0.016260022798269616+4.564110274506116E-6i
50,0.010798748850030224+6.602633475988977E-6i
60,0.006328775694005494+9.641426410578896E-6i
70,0.0020223186365601457+1.4627061002272504E-5i
80,0.0029145467386415607-2.3902253693877394E-5i
90,0.009861348699073208-4.46660077532059E-5i
100,0.02285156403960035-1.0914705855737286E-4i
110,0.06579279756902012-5.612160411216149E-4i
120,0.29202099023473493+0.00796432780163568i
130,0.05716454270011452+2.3966039599610125E-4i
140,0.03432461752476894+7.200216418249206E-5i
150,0.02541192944754908+3.4333554422074505E-5i
160,0.020536276229968054+2.0185334860964496E-5i
170,0.01739450166293571+1.3417508361766168E-5i
180,0.015163014917675377+9.689854924549617E-6i
190,0.013472565019237315+7.440800689989942E-6i
200,0.012132062889936221+5.997064027605771E-6i
210,0.011032194405634377+5.029867126002039E-6i
220,0.010105594200473278+4.3633439105868E-6i
230,0.009308282866420083+3.896661448983275E-6i
240,0.008610190760028396+3.5687883385078237E-6i
250,0.007989961897790046+3.3411705541214188E-6i
260,0.007431935000715384+3.188624968216503E-6i
270,0.006924303307872542+3.0942813572071654E-6i
280,0.006457946514234997+3.046643134225557E-6i
290,0.006025663341792812+3.0378047561047223E-6i
300,0.0056216531057318+3.06229798126335E-6i
310,0.00524116476773406+3.1160169868367723E-6i
320,0.0048803864810908+3.187053503328991E-6i
330,0.0045344506897929985+3.2913267253524127E-6i
